age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
29;unemployed;married;tertiary;no;-1052;yes;no;cellular;20;jul;178;1;-1;0;unknown;no
53;admin.;married;secondary;no;1453;no;no;cellular;30;jul;153;8;149;9;failure;no
51;technician;married;secondary;no;-2363;no;no;cellular;24;nov;323;1;492;5;failure;no
40;blue-collar;single;primary;no;4242;no;no;cellular;6;may;492;2;-1;0;unknown;no
29;blue-collar;married;secondary;no;540;yes;no;unknown;10;may;268;3;768;17;other;no
70;management;married;tertiary;no;4379;no;no;cellular;9;may;8;4;-1;0;unknown;no
45;technician;married;primary;no;4046;no;no;telephone;1;aug;121;5;-1;0;unknown;no
50;admin.;single;tertiary;no;4654;no;yes;telephone;10;jul;3;1;239;21;unknown;no
34;admin.;married;secondary;no;-328;yes;no;cellular;1;feb;575;1;682;16;unknown;no
29;blue-collar;married;secondary;no;6027;no;no;telephone;22;nov;190;1;-1;0;unknown;no
52;blue-collar;single;tertiary;no;3570;yes;no;unknown;26;jun;314;1;-1;0;unknown;no
39;student;married;secondary;no;-2091;no;no;unknown;7;apr;414;1;-1;0;unknown;no
43;blue-collar;married;secondary;no;1113;yes;no;cellular;4;nov;20;3;-1;0;unknown;no
39;blue-collar;married;secondary;no;2101;yes;yes;unknown;12;jul;628;1;179;14;failure;yes
57;admin.;married;secondary;yes;2235;yes;no;unknown;6;jul;311;1;-1;0;unknown;no
39;technician;single;tertiary;no;7895;no;no;cellular;28;feb;178;3;732;12;failure;no
47;blue-collar;single;secondary;no;-923;yes;no;unknown;15;jan;47;1;-1;0;unknown;no
43;services;divorced;primary;yes;1300;yes;no;cellular;3;may;207;2;-1;0;unknown;no
25;admin.;single;tertiary;no;540;yes;no;cellular;19;jun;240;11;-1;0;unknown;no
32;retired;married;secondary;no;748;yes;no;cellular;5;may;495;2;-1;0;unknown;yes
44;services;married;secondary;no;7141;no;no;cellular;17;jun;441;3;-1;0;unknown;no
36;blue-collar;married;tertiary;no;1984;no;no;cellular;8;jan;137;1;-1;0;unknown;no
38;management;married;secondary;no;4000;yes;no;unknown;26;jul;808;3;-1;0;unknown;no
57;self-employed;single;secondary;no;3654;no;no;cellular;3;aug;19;1;127;11;failure;no
37;retired;married;secondary;no;2667;yes;no;cellular;23;apr;297;1;-1;0;unknown;yes
65;unknown;unknown;tertiary;no;4643;yes;yes;cellular;18;jan;537;3;9;23;failure;yes
38;management;single;secondary;no;3593;yes;no;cellular;10;jul;76;1;-1;0;unknown;no
34;blue-collar;single;tertiary;no;2206;no;yes;unknown;18;may;206;2;-1;0;unknown;no
58;admin.;married;tertiary;no;627;no;yes;cellular;22;nov;106;1;-1;0;unknown;no
44;services;married;unknown;no;2089;yes;no;cellular;6;feb;136;2;-1;0;unknown;no
56;management;divorced;secondary;no;3237;yes;no;telephone;21;jun;7;4;-1;0;unknown;no
28;technician;married;secondary;no;-172;yes;no;unknown;23;nov;221;2;-1;0;unknown;no
19;blue-collar;single;unknown;no;1935;yes;no;cellular;3;jun;534;5;259;3;unknown;no
19;management;married;unknown;no;425;yes;yes;cellular;30;may;1378;5;-1;0;unknown;yes
25;blue-collar;married;tertiary;no;701;no;yes;unknown;6;nov;695;6;-1;0;unknown;no
26;admin.;married;tertiary;no;1997;no;no;cellular;2;may;82;1;806;18;failure;no
47;blue-collar;married;secondary;no;5496;yes;no;cellular;4;may;497;5;556;20;success;yes
38;management;married;secondary;no;2368;yes;no;cellular;24;jul;42;2;-1;0;unknown;no
37;blue-collar;married;secondary;no;4300;yes;no;telephone;6;may;953;1;-1;0;unknown;yes
26;blue-collar;single;secondary;no;4125;yes;no;unknown;21;may;81;2;-1;0;unknown;no
50;technician;single;secondary;no;5884;yes;no;cellular;21;jul;454;6;-1;0;unknown;yes
48;self-employed;divorced;tertiary;no;-55;no;no;unknown;8;jun;294;4;-1;0;unknown;no
23;technician;married;tertiary;no;775;no;no;unknown;15;may;29;1;353;16;unknown;no
36;technician;divorced;secondary;no;3636;yes;no;cellular;2;may;172;1;-1;0;unknown;yes
32;technician;married;secondary;no;3846;no;no;cellular;17;oct;7;1;-1;0;unknown;no
60;technician;single;secondary;no;3953;yes;no;cellular;22;aug;628;6;-1;0;unknown;yes
43;management;married;tertiary;no;1664;yes;no;cellular;26;aug;329;1;745;12;failure;no
40;entrepreneur;divorced;primary;no;8053;no;no;cellular;20;apr;41;1;-1;0;unknown;no
43;blue-collar;married;secondary;no;4188;yes;no;telephone;2;apr;708;4;-1;0;unknown;yes
43;housemaid;single;tertiary;no;4060;no;no;cellular;2;may;140;1;-1;0;unknown;yes
44;blue-collar;divorced;secondary;yes;-2146;yes;no;telephone;13;jul;233;2;-1;0;unknown;no
19;housemaid;single;primary;no;-299;no;no;unknown;15;feb;28;9;-1;0;unknown;no
41;blue-collar;married;tertiary;no;-3305;no;yes;cellular;15;aug;71;1;-1;0;unknown;no
73;admin.;married;secondary;no;-663;yes;no;unknown;29;may;46;2;-1;0;unknown;no
30;services;married;tertiary;no;4639;no;no;cellular;11;jul;21;1;810;15;failure;yes
51;entrepreneur;married;secondary;no;-1103;yes;no;unknown;3;jan;295;1;-1;0;unknown;no
47;unemployed;single;tertiary;no;2487;yes;no;cellular;30;may;284;3;-1;0;unknown;no
39;self-employed;divorced;secondary;no;-378;no;no;unknown;9;jan;240;1;-1;0;unknown;no
30;blue-collar;married;tertiary;no;2584;no;no;cellular;23;sep;320;1;-1;0;unknown;no
46;housemaid;divorced;primary;no;-363;yes;no;cellular;9;jul;124;3;-1;0;unknown;no
36;unemployed;married;secondary;no;2723;yes;no;cellular;13;may;129;2;-1;0;unknown;no
39;admin.;married;secondary;no;-1299;yes;no;unknown;2;jul;287;7;-1;0;unknown;yes
45;blue-collar;married;secondary;no;84;no;no;cellular;26;may;444;2;-1;0;unknown;yes
30;admin.;married;unknown;no;-2414;no;no;unknown;8;aug;87;1;655;5;failure;no
36;self-employed;divorced;tertiary;no;-1991;no;no;cellular;26;jul;16;1;-1;0;unknown;no
48;technician;married;primary;no;1279;yes;no;cellular;21;may;653;1;-1;0;unknown;yes
40;admin.;married;secondary;no;86;yes;no;cellular;6;may;271;2;-1;0;unknown;yes
20;blue-collar;single;secondary;no;-1779;no;no;cellular;25;jul;19;1;-1;0;unknown;no
45;blue-collar;married;unknown;no;0;yes;no;cellular;12;may;50;1;411;19;unknown;no
47;blue-collar;married;secondary;no;-4231;no;no;cellular;17;jan;264;2;157;23;other;no
48;entrepreneur;married;tertiary;no;-612;no;yes;cellular;23;apr;1257;2;-1;0;unknown;yes
38;technician;single;secondary;no;1619;no;no;cellular;30;jul;143;3;289;18;failure;yes
30;blue-collar;married;tertiary;no;-159;yes;no;cellular;12;aug;148;3;-1;0;unknown;no
27;blue-collar;married;tertiary;no;-772;yes;no;cellular;21;may;167;1;-1;0;unknown;no
36;blue-collar;married;secondary;no;-798;yes;no;cellular;12;jan;188;1;179;6;unknown;no
49;management;single;secondary;no;3803;yes;no;cellular;26;may;50;2;-1;0;unknown;no
33;blue-collar;divorced;tertiary;no;-2619;no;no;cellular;9;may;329;5;130;20;failure;no
60;admin.;married;secondary;no;-1317;yes;no;unknown;27;may;222;4;-1;0;unknown;no
34;technician;married;tertiary;no;-1005;yes;no;unknown;18;may;5;5;-1;0;unknown;no
56;technician;married;secondary;no;4632;yes;no;unknown;4;jul;42;11;-1;0;unknown;no
45;technician;married;secondary;no;6324;no;no;cellular;4;jun;136;2;-1;0;unknown;no
35;services;married;secondary;no;4336;no;no;unknown;18;may;48;4;-1;0;unknown;no
28;technician;divorced;tertiary;no;166;yes;no;cellular;6;may;111;1;-1;0;unknown;no
46;management;married;tertiary;no;3200;yes;no;cellular;8;may;563;1;-1;0;unknown;no
39;technician;married;tertiary;no;1803;no;no;cellular;3;aug;3;2;-1;0;unknown;no
32;admin.;single;secondary;no;531;yes;no;cellular;30;feb;122;1;-1;0;unknown;no
41;technician;single;unknown;no;4217;yes;yes;cellular;27;aug;327;1;-1;0;unknown;yes
43;technician;married;secondary;no;-3409;yes;no;telephone;22;aug;471;3;-1;0;unknown;no
31;management;divorced;secondary;no;3765;yes;no;telephone;12;jan;496;2;-1;0;unknown;no
42;blue-collar;married;secondary;no;3399;yes;no;cellular;10;jun;491;1;-1;0;unknown;yes
19;admin.;married;secondary;no;-988;no;no;unknown;27;aug;30;3;-1;0;unknown;no
26;blue-collar;married;secondary;no;-604;yes;no;cellular;17;may;737;6;-1;0;unknown;no
51;self-employed;married;tertiary;no;-455;yes;no;cellular;9;aug;298;1;-1;0;unknown;yes
36;retired;married;tertiary;no;4345;no;no;cellular;19;apr;261;2;-1;0;unknown;no
48;admin.;married;tertiary;no;2182;yes;no;unknown;20;may;11;1;-1;0;unknown;no
46;admin.;single;secondary;no;-1498;no;no;cellular;17;may;390;1;414;1;success;yes
51;blue-collar;unknown;secondary;no;3224;yes;no;telephone;28;aug;54;1;-1;0;unknown;no
48;blue-collar;married;secondary;no;-158;no;no;cellular;29;may;14;3;-1;0;unknown;no
50;technician;married;primary;no;-1816;yes;no;cellular;23;may;439;1;-1;0;unknown;yes
24;student;single;secondary;no;3992;yes;no;cellular;30;aug;318;1;-1;0;unknown;no
58;entrepreneur;married;tertiary;no;2576;yes;no;cellular;17;may;44;2;-1;0;unknown;no
47;unemployed;single;tertiary;no;1316;yes;no;cellular;20;may;56;1;-1;0;unknown;no
68;admin.;married;tertiary;no;6605;yes;no;cellular;27;may;97;3;-1;0;unknown;no
39;services;married;secondary;no;711;yes;no;unknown;18;may;1067;8;-1;0;unknown;no
31;services;single;secondary;no;-1919;no;no;cellular;27;jan;83;3;-1;0;unknown;no
53;student;single;tertiary;no;2913;no;no;cellular;30;may;27;2;-1;0;unknown;no
50;unemployed;married;secondary;no;4959;yes;no;cellular;3;may;5;2;692;16;other;no
22;student;married;secondary;no;3942;yes;no;cellular;21;jun;178;2;-1;0;unknown;yes
40;blue-collar;married;tertiary;no;3101;no;yes;unknown;8;jan;174;3;208;8;failure;no
34;housemaid;single;tertiary;no;-1060;yes;yes;cellular;18;may;374;1;-1;0;unknown;no
35;admin.;married;secondary;no;-2724;yes;no;cellular;17;jan;372;11;-1;0;unknown;no
41;technician;married;tertiary;no;1398;yes;no;unknown;15;aug;807;3;-1;0;unknown;no
30;blue-collar;married;primary;no;-1566;yes;no;cellular;29;aug;38;4;323;22;failure;no
52;management;married;tertiary;no;-79;yes;no;unknown;1;feb;231;2;-1;0;unknown;no
32;housemaid;married;unknown;no;777;yes;no;unknown;26;may;78;1;-1;0;unknown;no
32;admin.;single;tertiary;no;4578;yes;no;unknown;5;may;241;2;-1;0;unknown;no
27;services;married;tertiary;no;4278;no;yes;unknown;14;aug;550;2;-1;0;unknown;no
44;unemployed;married;secondary;no;-3417;yes;no;unknown;9;jul;36;1;764;15;unknown;no
28;blue-collar;married;secondary;no;4370;yes;no;unknown;14;jul;1278;2;-1;0;unknown;yes
47;technician;divorced;tertiary;no;1060;yes;no;cellular;31;jan;297;2;-1;0;unknown;no
53;blue-collar;married;unknown;no;-316;no;no;unknown;30;may;415;4;-1;0;unknown;no
35;blue-collar;single;secondary;no;1776;no;yes;unknown;7;nov;82;1;-1;0;unknown;no
56;services;married;primary;no;188;yes;no;cellular;12;may;0;2;-1;0;unknown;no
37;student;married;secondary;no;-747;yes;no;unknown;12;feb;394;5;-1;0;unknown;no
53;admin.;married;primary;yes;2496;no;yes;unknown;28;may;34;2;-1;0;unknown;no
50;admin.;married;secondary;no;3182;no;no;cellular;5;nov;63;6;845;7;other;no
33;technician;married;primary;no;3935;yes;no;cellular;4;aug;112;2;-1;0;unknown;no
42;retired;married;secondary;no;1079;no;no;unknown;3;may;90;10;-1;0;unknown;no
43;entrepreneur;married;secondary;no;7885;yes;no;cellular;5;aug;30;1;-1;0;unknown;no
31;unknown;married;secondary;no;3049;yes;no;cellular;5;may;520;1;-1;0;unknown;no
28;housemaid;married;secondary;no;715;no;no;unknown;24;apr;143;7;-1;0;unknown;no
34;admin.;married;tertiary;no;4810;yes;no;cellular;8;jun;61;4;-1;0;unknown;yes
33;admin.;married;primary;no;-1648;yes;no;cellular;31;may;81;3;-1;0;unknown;no
19;self-employed;married;tertiary;no;-1859;yes;no;cellular;19;apr;9;4;-1;0;unknown;no
64;admin.;divorced;secondary;no;2060;no;no;cellular;28;may;845;1;-1;0;unknown;yes
35;services;married;tertiary;no;-4786;yes;yes;cellular;3;oct;31;4;-1;0;unknown;no
55;technician;married;primary;no;258;no;no;cellular;22;aug;1015;1;-1;0;unknown;yes
47;blue-collar;single;tertiary;yes;2710;no;no;cellular;3;jul;711;1;-1;0;unknown;yes
32;blue-collar;married;secondary;no;5182;no;no;cellular;18;apr;13;1;-1;0;unknown;no
50;retired;single;secondary;no;1119;no;no;cellular;20;jul;103;2;-1;0;unknown;no
31;blue-collar;single;tertiary;no;5266;no;no;telephone;8;jun;143;2;-1;0;unknown;yes
62;blue-collar;married;tertiary;no;-2508;no;no;cellular;18;jul;683;1;127;13;unknown;no
33;admin.;single;tertiary;no;2109;yes;no;cellular;24;aug;121;1;-1;0;unknown;no
32;blue-collar;single;secondary;no;4417;yes;no;cellular;14;sep;361;3;-1;0;unknown;yes
54;blue-collar;married;secondary;no;5819;no;no;cellular;8;may;60;1;-1;0;unknown;no
40;admin.;single;tertiary;no;-84;yes;no;cellular;29;jul;45;2;-1;0;unknown;no
58;services;married;secondary;no;4443;no;yes;cellular;3;jul;127;1;-1;0;unknown;no
31;blue-collar;married;secondary;no;6489;yes;no;cellular;31;jul;67;4;-1;0;unknown;no
63;entrepreneur;single;secondary;no;-753;no;no;cellular;15;nov;700;1;29;3;success;yes
28;technician;married;tertiary;no;3731;yes;no;cellular;11;may;80;1;-1;0;unknown;no
46;blue-collar;married;secondary;no;-401;no;no;cellular;2;may;777;1;-1;0;unknown;no
33;student;single;primary;no;1094;no;no;unknown;14;may;78;8;-1;0;unknown;no
40;retired;married;secondary;no;5781;yes;no;unknown;29;may;204;1;-1;0;unknown;yes
55;blue-collar;single;secondary;no;-1750;yes;no;cellular;12;may;556;5;-1;0;unknown;yes
32;blue-collar;married;tertiary;no;2388;yes;no;unknown;28;jan;137;1;-1;0;unknown;no
60;unknown;married;tertiary;no;-1151;no;no;unknown;30;may;188;1;-1;0;unknown;no
49;admin.;married;secondary;no;8711;yes;yes;unknown;10;aug;28;1;40;3;failure;no
20;retired;single;secondary;no;511;yes;no;cellular;12;nov;252;1;-1;0;unknown;no
37;admin.;single;secondary;no;1813;yes;yes;unknown;11;may;133;2;603;21;unknown;no
42;entrepreneur;married;secondary;no;4077;no;yes;cellular;15;apr;501;3;-1;0;unknown;no
43;services;married;tertiary;no;125;yes;no;cellular;31;apr;18;7;-1;0;unknown;no
30;blue-collar;married;secondary;no;-115;yes;yes;cellular;30;jul;24;1;-1;0;unknown;no
34;admin.;married;unknown;no;3080;no;no;cellular;20;jul;269;2;-1;0;unknown;no
27;blue-collar;married;secondary;no;4450;yes;no;unknown;24;may;23;1;-1;0;unknown;no
57;admin.;single;primary;no;-427;yes;no;cellular;30;nov;37;5;-1;0;unknown;no
21;admin.;single;tertiary;no;1084;yes;no;cellular;5;may;208;1;-1;0;unknown;no
21;management;married;secondary;no;2232;yes;no;telephone;22;may;42;2;785;24;failure;no
31;retired;single;secondary;no;3938;no;no;cellular;28;jun;67;2;-1;0;unknown;no
34;admin.;single;primary;no;1084;no;yes;cellular;21;jun;562;1;-1;0;unknown;no
33;admin.;married;tertiary;no;-1121;no;no;unknown;18;may;565;1;-1;0;unknown;no
38;admin.;married;primary;no;-2602;no;no;cellular;29;jul;335;3;-1;0;unknown;no
53;technician;married;secondary;no;-795;no;no;cellular;15;nov;169;1;-1;0;unknown;yes
31;blue-collar;married;primary;no;3123;no;no;unknown;23;jan;358;10;-1;0;unknown;no
34;technician;single;secondary;no;1622;no;no;unknown;31;jan;393;1;-1;0;unknown;no
48;unknown;married;secondary;no;1175;yes;no;telephone;16;aug;290;3;-1;0;unknown;no
58;blue-collar;single;tertiary;no;1240;no;no;telephone;27;jun;15;3;-1;0;unknown;yes
49;admin.;single;secondary;no;2261;yes;yes;unknown;23;may;194;4;-1;0;unknown;no
19;admin.;divorced;secondary;no;3328;yes;no;cellular;12;aug;21;3;-1;0;unknown;no
41;blue-collar;divorced;tertiary;no;-1563;no;no;cellular;26;feb;237;4;-1;0;unknown;no
55;technician;married;secondary;no;-4909;yes;no;cellular;12;apr;183;5;464;7;other;no
19;admin.;single;secondary;no;252;no;no;cellular;4;aug;21;2;-1;0;unknown;no
41;technician;divorced;tertiary;no;-1287;no;no;unknown;11;apr;327;6;425;8;success;no
37;self-employed;married;secondary;no;-2500;yes;no;cellular;9;oct;228;3;-1;0;unknown;yes
64;blue-collar;divorced;secondary;no;955;yes;no;cellular;18;may;298;5;-1;0;unknown;yes
44;services;married;primary;no;-2176;yes;no;unknown;31;aug;19;1;-1;0;unknown;no
47;services;married;secondary;no;7037;yes;yes;cellular;5;may;160;2;-1;0;unknown;no
53;blue-collar;divorced;secondary;no;222;yes;no;unknown;11;jul;513;1;-1;0;unknown;no
19;blue-collar;married;primary;no;149;yes;yes;unknown;14;jan;98;2;-1;0;unknown;yes
47;services;single;tertiary;no;7676;yes;no;unknown;5;may;319;1;329;5;success;no
32;blue-collar;married;secondary;no;4355;no;no;cellular;1;may;144;4;-1;0;unknown;no
28;entrepreneur;divorced;secondary;no;1558;yes;no;cellular;11;apr;232;4;-1;0;unknown;yes
36;services;single;secondary;no;-514;yes;no;cellular;29;jul;19;1;568;15;unknown;yes
38;admin.;married;secondary;no;747;no;yes;cellular;14;jun;214;4;-1;0;unknown;no
44;admin.;divorced;secondary;no;5186;no;no;cellular;4;may;95;3;-1;0;unknown;no
50;blue-collar;married;secondary;no;486;yes;no;unknown;2;aug;738;3;-1;0;unknown;no
57;blue-collar;single;tertiary;no;2756;no;yes;unknown;18;may;302;1;-1;0;unknown;yes
32;admin.;single;secondary;no;2726;yes;no;cellular;18;jun;109;2;-1;0;unknown;no
40;housemaid;single;secondary;no;4108;yes;no;cellular;10;nov;981;6;-1;0;unknown;yes
19;admin.;single;secondary;no;190;yes;yes;unknown;7;may;64;2;-1;0;unknown;no
31;technician;married;secondary;no;6171;no;no;unknown;6;may;147;1;-1;0;unknown;no
45;management;single;secondary;no;-200;no;no;cellular;9;may;418;1;-1;0;unknown;no
49;blue-collar;married;primary;no;5586;yes;no;cellular;1;oct;614;1;7;16;failure;no
70;services;divorced;tertiary;no;2262;no;no;cellular;29;aug;412;1;-1;0;unknown;no
38;retired;married;primary;no;1726;yes;no;cellular;13;feb;545;2;-1;0;unknown;no
32;admin.;married;primary;no;2168;yes;no;cellular;15;apr;90;3;-1;0;unknown;no
39;blue-collar;married;secondary;no;3076;no;no;cellular;12;apr;130;1;-1;0;unknown;no
38;blue-collar;divorced;secondary;no;4098;no;yes;unknown;25;jul;163;3;-1;0;unknown;yes
29;services;divorced;secondary;no;7843;yes;no;unknown;6;jul;284;1;-1;0;unknown;no
46;services;divorced;primary;no;-2369;no;no;cellular;27;jun;345;1;-1;0;unknown;no
26;admin.;single;secondary;no;1141;yes;no;cellular;7;nov;800;1;-1;0;unknown;yes
46;entrepreneur;single;secondary;no;1756;yes;no;telephone;16;jun;47;3;-1;0;unknown;no
42;admin.;single;tertiary;no;5397;no;no;cellular;1;jul;88;1;195;16;failure;no
44;management;divorced;secondary;no;-227;yes;yes;cellular;6;may;238;1;429;2;unknown;no
